1,1,Aniocha North,Aniocha North,,127.0.0.2,Bincom,25
2,2,Aniocha - South,Aniocha - South,,127.0.0.1,Bincom,25
3,5,Ethiope East,Ethiope East,,127.0.0.5,Bincom,25
4,6,Ethiope West,Ethiope West,,127.0.0.6,Bincom,25
5,7,Ika North - East,Ika North - East,,127.0.0.8,Bincom,25
6,8,Ika - South,Ika - South,,127.0.0.7,Bincom,25
7,9,Isoko North,Isoko North,,127.0.0.9,Bincom,25
8,10,Isoko South,Isoko South,,127.0.0.10,Bincom,25
9,11,Ndokwa East,Ndokwa East,,127.0.0.11,Bincom,25
10,12,Ndokwa West,Ndokwa West,,127.0.0.12,Bincom,25
11,13,Okpe,Okpe,,127.0.0.13,Bincom,25
12,14,Oshimili - North,Oshimili - North,,127.0.0.14,Bincom,25
13,15,Oshimili - South,Oshimili - South,,127.0.0.15,Bincom,25
14,16,Patani,Patani,,127.0.0.16,Bincom,25
15,17,Sapele,Sapele,,127.0.0.17,Bincom,25
16,18,Udu,Udu,,127.0.0.18,Bincom,25
17,19,Ughelli North,Ughelli North,,127.0.0.19,Bincom,25
18,20,Ughelli South,Ughelli South,,127.0.0.20,Bincom,25
19,21,Ukwuani,Ukwuani,,127.0.0.21,Bincom,25
20,22,Uvwie,Uvwie,,127.0.0.22,Bincom,25
21,31,Bomadi,Bomadi,,127.0.0.3,Bincom,25
22,32,Burutu,Burutu,,127.0.0.4,Bincom,25
23,33,Warri North,Warri North,,127.0.0.23,Bincom,25
24,34,Warri South,Warri South,,127.0.0.24,Bincom,25
25,35,Warri South West,Warri South West,,127.0.0.25,Bincom,25
